"Vol","File","SHA1","Size","URL"
"jogo-disk-48","cdrom_image.iso","effc1711ec555e6c300f744f2f863b122d5857dc","148883456","https://archive.org/download/jogo-disk-48/cdrom_image.iso"
"jogo-disk-77","Vol 77.iso","7e09a2b92eea350c20e26c3a425a8641d364a4d1","93493248","https://archive.org/download/jogo-disk-77/Vol%2077.iso"
"jogo-disk-124","Vol 124.iso","43dfaf377cffdbab6d93264d2502959f57ed2963","68542464","https://archive.org/download/jogo-disk-124/Vol%20124.iso"
"jogo-disk-107","(Vol 107) May 15 2010.iso","b3d71c6ad9c9e4d3c4c2a9a44b106b8898698333","80779264","https://archive.org/download/jogo-disk-107/(Vol%20107)%20May%2015%202010.iso"
